Ronda,Fecha,Local,Resultado,Visitante,Anio
Round 1,8/9/1979,Betis,1—2,Rayo Vallecano,1979-1980
Round 1,8/9/1979,Español,5—2,AD Almería,1979-1980
Round 1,8/9/1979,Sporting de Gijón,2—1,Sevilla,1979-1980
Round 1,8/9/1979,Real Sociedad,1—0,Las Palmas,1979-1980
Round 1,9/9/1979,Burgos,1—0,CD Málaga,1979-1980
Round 1,9/9/1979,Hércules,2—3,Atlético de Madrid,1979-1980
Round 1,9/9/1979,Real Madrid,3—1,Valencia,1979-1980
Round 1,9/9/1979,Salamanca,2—1,Athletic Club,1979-1980
Round 1,9/9/1979,Zaragoza,2—2,Barcelona,1979-1980
Round 2,15/09/1979,Athletic Club,0—1,Real Sociedad,1979-1980
Round 2,15/09/1979,Atlético de Madrid,1—3,Sporting de Gijón,1979-1980
Round 2,15/09/1979,Barcelona,5—0,Betis,1979-1980
Round 2,15/09/1979,Las Palmas,2—1,Hércules,1979-1980
Round 2,15/09/1979,CD Málaga,1—2,Español,1979-1980
Round 2,15/09/1979,Valencia,2—2,Salamanca,1979-1980
Round 2,16/09/1979,AD Almería,1—0,Zaragoza,1979-1980
Round 2,16/09/1979,Rayo Vallecano,1—2,Real Madrid,1979-1980
Round 2,16/09/1979,Sevilla,6—1,Burgos,1979-1980
Round 3,22/09/1979,Español,2—0,Zaragoza,1979-1980
Round 3,23/09/1979,Betis,0—0,AD Almería,1979-1980
Round 3,23/09/1979,Burgos,1—1,Atlético de Madrid,1979-1980
Round 3,23/09/1979,Sporting de Gijón,4—1,Las Palmas,1979-1980
Round 3,23/09/1979,Hércules,2—1,Athletic Club,1979-1980
Round 3,23/09/1979,CD Málaga,2—1,Sevilla,1979-1980
Round 3,23/09/1979,Real Sociedad,0—0,Valencia,1979-1980
Round 3,23/09/1979,Real Madrid,3—2,Barcelona,1979-1980
Round 3,23/09/1979,Salamanca,3—0,Rayo Vallecano,1979-1980
Round 4,29/09/1979,Atlético de Madrid,0—0,CD Málaga,1979-1980
Round 4,29/09/1979,Las Palmas,2—1,Burgos,1979-1980
Round 4,29/09/1979,Valencia,0—0,Hércules,1979-1980
Round 4,30/09/1979,AD Almería,1—1,Real Madrid,1979-1980
Round 4,30/09/1979,Athletic Club,2—3,Sporting de Gijón,1979-1980
Round 4,30/09/1979,Barcelona,0—0,Salamanca,1979-1980
Round 4,30/09/1979,Rayo Vallecano,1—1,Real Sociedad,1979-1980
Round 4,30/09/1979,Sevilla,2—1,Español,1979-1980
Round 4,30/09/1979,Zaragoza,5—1,Betis,1979-1980
Round 5,14/10/1979,Burgos,1—1,Athletic Club,1979-1980
Round 5,14/10/1979,Español,0—0,Betis,1979-1980
Round 5,14/10/1979,Sporting de Gijón,4—2,Valencia,1979-1980
Round 5,14/10/1979,Hércules,2—2,Rayo Vallecano,1979-1980
Round 5,14/10/1979,CD Málaga,1—0,Las Palmas,1979-1980
Round 5,14/10/1979,Real Sociedad,4—3,Barcelona,1979-1980
Round 5,14/10/1979,Real Madrid,3—2,Zaragoza,1979-1980
Round 5,14/10/1979,Salamanca,2—1,AD Almería,1979-1980
Round 5,14/10/1979,Sevilla,2—2,Atlético de Madrid,1979-1980
Round 6,20/10/1979,Barcelona,2—0,Hércules,1979-1980
Round 6,20/10/1979,Las Palmas,2—0,Sevilla,1979-1980
Round 6,20/10/1979,Valencia,3—1,Burgos,1979-1980
Round 6,21/10/1979,AD Almería,0—0,Real Sociedad,1979-1980
Round 6,21/10/1979,Athletic Club,3—1,CD Málaga,1979-1980
Round 6,21/10/1979,Atlético de Madrid,1—1,Español,1979-1980
Round 6,21/10/1979,Betis,2—3,Real Madrid,1979-1980
Round 6,21/10/1979,Rayo Vallecano,1—2,Sporting de Gijón,1979-1980
Round 6,21/10/1979,Zaragoza,1—2,Salamanca,1979-1980
Round 7,28/10/1979,Atlético de Madrid,0—0,Las Palmas,1979-1980
Round 7,28/10/1979,Burgos,1—1,Rayo Vallecano,1979-1980
Round 7,28/10/1979,Español,0—0,Real Madrid,1979-1980
Round 7,28/10/1979,Sporting de Gijón,4—1,Barcelona,1979-1980
Round 7,28/10/1979,Hércules,4—0,AD Almería,1979-1980
Round 7,28/10/1979,CD Málaga,2—1,Valencia,1979-1980
Round 7,28/10/1979,Real Sociedad,2—1,Zaragoza,1979-1980
Round 7,28/10/1979,Salamanca,3—0,Betis,1979-1980
Round 7,28/10/1979,Sevilla,3—1,Athletic Club,1979-1980
Round 8,3/11/1979,Barcelona,1—0,Burgos,1979-1980
Round 8,3/11/1979,Las Palmas,1—0,Español,1979-1980
Round 8,3/11/1979,Real Madrid,2—0,Salamanca,1979-1980
Round 8,4/11/1979,AD Almería,0—0,Sporting de Gijón,1979-1980
Round 8,4/11/1979,Athletic Club,2—1,Atlético de Madrid,1979-1980
Round 8,4/11/1979,Betis,1—1,Real Sociedad,1979-1980
Round 8,4/11/1979,Rayo Vallecano,5—1,CD Málaga,1979-1980
Round 8,4/11/1979,Valencia,2—1,Sevilla,1979-1980
Round 8,4/11/1979,Zaragoza,1—0,Hércules,1979-1980
Round 9,10/11/1979,Las Palmas,1—1,Athletic Club,1979-1980
Round 9,11/11/1979,Atlético de Madrid,0—1,Valencia,1979-1980
Round 9,11/11/1979,Burgos,2—1,AD Almería,1979-1980
Round 9,11/11/1979,Español,1—1,Salamanca,1979-1980
Round 9,11/11/1979,Sporting de Gijón,1—4,Zaragoza,1979-1980
Round 9,11/11/1979,Hércules,1—1,Betis,1979-1980
Round 9,11/11/1979,CD Málaga,0—0,Barcelona,1979-1980
Round 9,11/11/1979,Real Sociedad,4—0,Real Madrid,1979-1980
Round 9,11/11/1979,Sevilla,1—1,Rayo Vallecano,1979-1980
Round 10,18/11/1979,AD Almería,3—2,CD Málaga,1979-1980
Round 10,18/11/1979,Athletic Club,2—0,Español,1979-1980
Round 10,18/11/1979,Barcelona,0—0,Sevilla,1979-1980
Round 10,18/11/1979,Betis,1—0,Sporting de Gijón,1979-1980
Round 10,18/11/1979,Rayo Vallecano,4—1,Atlético de Madrid,1979-1980
Round 10,18/11/1979,Real Madrid,5—0,Hércules,1979-1980
Round 10,18/11/1979,Salamanca,0—1,Real Sociedad,1979-1980
Round 10,18/11/1979,Valencia,4—0,Las Palmas,1979-1980
Round 10,18/11/1979,Zaragoza,5—0,Burgos,1979-1980
Round 11,25/11/1979,Athletic Club,4—0,Valencia,1979-1980
Round 11,25/11/1979,Atlético de Madrid,2—1,Barcelona,1979-1980
Round 11,25/11/1979,Burgos,1—1,Betis,1979-1980
Round 11,25/11/1979,Español,1—2,Real Sociedad,1979-1980
Round 11,25/11/1979,Sporting de Gijón,1—1,Real Madrid,1979-1980
Round 11,25/11/1979,Hércules,4—0,Salamanca,1979-1980
Round 11,25/11/1979,Las Palmas,3—0,Rayo Vallecano,1979-1980
Round 11,25/11/1979,CD Málaga,1—1,Zaragoza,1979-1980
Round 11,25/11/1979,Sevilla,3—1,AD Almería,1979-1980
Round 12,2/12/1979,AD Almería,2—1,Atlético de Madrid,1979-1980
Round 12,2/12/1979,Barcelona,1—0,Las Palmas,1979-1980
Round 12,2/12/1979,Betis,2—1,CD Málaga,1979-1980
Round 12,2/12/1979,Real Sociedad,1—1,Hércules,1979-1980
Round 12,2/12/1979,Rayo Vallecano,2—1,Athletic Club,1979-1980
Round 12,2/12/1979,Real Madrid,2—1,Burgos,1979-1980
Round 12,2/12/1979,Salamanca,0—1,Sporting de Gijón,1979-1980
Round 12,2/12/1979,Valencia,5—1,Español,1979-1980
Round 12,2/12/1979,Zaragoza,1—0,Sevilla,1979-1980
Round 13,15/12/1979,Las Palmas,3—2,AD Almería,1979-1980
Round 13,16/12/1979,Athletic Club,2—1,Barcelona,1979-1980
Round 13,16/12/1979,Atlético de Madrid,3—0,Zaragoza,1979-1980
Round 13,16/12/1979,Burgos,2—0,Salamanca,1979-1980
Round 13,16/12/1979,Español,0—0,Hércules,1979-1980
Round 13,16/12/1979,Sporting de Gijón,0—1,Real Sociedad,1979-1980
Round 13,16/12/1979,CD Málaga,1—4,Real Madrid,1979-1980
Round 13,16/12/1979,Sevilla,2—1,Betis,1979-1980
Round 13,16/12/1979,Valencia,2—1,Rayo Vallecano,1979-1980
Round 14,30/12/1979,AD Almería,4—2,Athletic Club,1979-1980
Round 14,30/12/1979,Barcelona,2—1,Valencia,1979-1980
Round 14,30/12/1979,Betis,0—0,Atlético de Madrid,1979-1980
Round 14,30/12/1979,Hércules,1—1,Sporting de Gijón,1979-1980
Round 14,30/12/1979,Real Sociedad,2—2,Burgos,1979-1980
Round 14,30/12/1979,Rayo Vallecano,2—2,Español,1979-1980
Round 14,30/12/1979,Real Madrid,2—0,Sevilla,1979-1980
Round 14,30/12/1979,Salamanca,3—0,CD Málaga,1979-1980
Round 14,30/12/1979,Zaragoza,4—0,Las Palmas,1979-1980
Round 15,6/1/1980,Athletic Club,3—1,Zaragoza,1979-1980
Round 15,6/1/1980,Atlético de Madrid,1—1,Real Madrid,1979-1980
Round 15,6/1/1980,Burgos,1—1,Hércules,1979-1980
Round 15,6/1/1980,Español,1—0,Sporting de Gijón,1979-1980
Round 15,6/1/1980,Las Palmas,1—0,Betis,1979-1980
Round 15,6/1/1980,CD Málaga,0—0,Real Sociedad,1979-1980
Round 15,6/1/1980,Rayo Vallecano,0—0,Barcelona,1979-1980
Round 15,6/1/1980,Sevilla,2—0,Salamanca,1979-1980
Round 15,6/1/1980,Valencia,1—1,AD Almería,1979-1980
Round 16,13/01/1980,AD Almería,3—3,Rayo Vallecano,1979-1980
Round 16,13/01/1980,Betis,0—0,Athletic Club,1979-1980
Round 16,13/01/1980,Español,2—0,Barcelona,1979-1980
Round 16,13/01/1980,Sporting de Gijón,2—0,Burgos,1979-1980
Round 16,13/01/1980,Hércules,1—0,CD Málaga,1979-1980
Round 16,13/01/1980,Real Sociedad,2—0,Sevilla,1979-1980
Round 16,13/01/1980,Real Madrid,3—1,Las Palmas,1979-1980
Round 16,13/01/1980,Salamanca,1—1,Atlético de Madrid,1979-1980
Round 16,13/01/1980,Zaragoza,1—1,Valencia,1979-1980
Round 17,20/01/1980,Athletic Club,3—0,Real Madrid,1979-1980
Round 17,20/01/1980,Atlético de Madrid,1—1,Real Sociedad,1979-1980
Round 17,20/01/1980,Barcelona,2—0,AD Almería,1979-1980
Round 17,20/01/1980,Burgos,0—0,Español,1979-1980
Round 17,20/01/1980,Las Palmas,1—0,Salamanca,1979-1980
Round 17,20/01/1980,CD Málaga,0—3,Sporting de Gijón,1979-1980
Round 17,20/01/1980,Rayo Vallecano,0—1,Zaragoza,1979-1980
Round 17,20/01/1980,Sevilla,2—1,Hércules,1979-1980
Round 17,20/01/1980,Valencia,2—2,Betis,1979-1980
Round 18,26/01/1980,Sevilla,1—0,Sporting de Gijón,1979-1980
Round 18,27/01/1980,AD Almería,1—1,Español,1979-1980
Round 18,27/01/1980,Athletic Club,2—0,Salamanca,1979-1980
Round 18,27/01/1980,Atlético de Madrid,2—1,Hércules,1979-1980
Round 18,27/01/1980,Barcelona,2—0,Zaragoza,1979-1980
Round 18,27/01/1980,Las Palmas,2—2,Real Sociedad,1979-1980
Round 18,27/01/1980,CD Málaga,3—1,Burgos,1979-1980
Round 18,27/01/1980,Rayo Vallecano,0—1,Betis,1979-1980
Round 18,27/01/1980,Valencia,2—0,Real Madrid,1979-1980
Round 19,3/2/1980,Betis,2—1,Barcelona,1979-1980
Round 19,3/2/1980,Burgos,1—0,Sevilla,1979-1980
Round 19,3/2/1980,Español,1—1,CD Málaga,1979-1980
Round 19,3/2/1980,Sporting de Gijón,0—0,Atlético de Madrid,1979-1980
Round 19,3/2/1980,Hércules,1—0,Las Palmas,1979-1980
Round 19,3/2/1980,Real Sociedad,4—0,Athletic Club,1979-1980
Round 19,3/2/1980,Real Madrid,7—0,Rayo Vallecano,1979-1980
Round 19,3/2/1980,Salamanca,1—1,Valencia,1979-1980
Round 19,3/2/1980,Zaragoza,0—0,AD Almería,1979-1980
Round 20,10/2/1980,AD Almería,1—1,Betis,1979-1980
Round 20,10/2/1980,Athletic Club,2—1,Hércules,1979-1980
Round 20,10/2/1980,Atlético de Madrid,1—0,Burgos,1979-1980
Round 20,10/2/1980,Barcelona,0—2,Real Madrid,1979-1980
Round 20,10/2/1980,Las Palmas,4—2,Sporting de Gijón,1979-1980
Round 20,10/2/1980,Rayo Vallecano,1—2,Salamanca,1979-1980
Round 20,10/2/1980,Sevilla,3—1,CD Málaga,1979-1980
Round 20,10/2/1980,Valencia,0—0,Real Sociedad,1979-1980
Round 20,10/2/1980,Zaragoza,1—1,Español,1979-1980
Round 21,17/02/1980,Betis,1—0,Zaragoza,1979-1980
Round 21,17/02/1980,Burgos,2—2,Las Palmas,1979-1980
Round 21,17/02/1980,Español,1—0,Sevilla,1979-1980
Round 21,17/02/1980,Sporting de Gijón,2—0,Athletic Club,1979-1980
Round 21,17/02/1980,Hércules,1—1,Valencia,1979-1980
Round 21,17/02/1980,CD Málaga,1—0,Atlético de Madrid,1979-1980
Round 21,17/02/1980,Real Sociedad,4—0,Rayo Vallecano,1979-1980
Round 21,17/02/1980,Real Madrid,4—1,AD Almería,1979-1980
Round 21,17/02/1980,Salamanca,1—1,Barcelona,1979-1980
Round 22,23/02/1980,Barcelona,0—0,Real Sociedad,1979-1980
Round 22,23/02/1980,Betis,2—0,Español,1979-1980
Round 22,24/02/1980,AD Almería,2—0,Salamanca,1979-1980
Round 22,24/02/1980,Athletic Club,1—0,Burgos,1979-1980
Round 22,24/02/1980,Atlético de Madrid,3—2,Sevilla,1979-1980
Round 22,24/02/1980,Las Palmas,1—1,CD Málaga,1979-1980
Round 22,24/02/1980,Rayo Vallecano,2—1,Hércules,1979-1980
Round 22,24/02/1980,Valencia,3—1,Sporting de Gijón,1979-1980
Round 22,24/02/1980,Zaragoza,0—1,Real Madrid,1979-1980
Round 23,1/3/1980,Real Madrid,1—1,Betis,1979-1980
Round 23,2/3/1980,Burgos,1—1,Valencia,1979-1980
Round 23,2/3/1980,Español,0—1,Atlético de Madrid,1979-1980
Round 23,2/3/1980,Sporting de Gijón,1—0,Rayo Vallecano,1979-1980
Round 23,2/3/1980,Hércules,1—1,Barcelona,1979-1980
Round 23,2/3/1980,CD Málaga,1—0,Athletic Club,1979-1980
Round 23,2/3/1980,Real Sociedad,1—0,AD Almería,1979-1980
Round 23,2/3/1980,Salamanca,0—1,Zaragoza,1979-1980
Round 23,2/3/1980,Sevilla,0—1,Las Palmas,1979-1980
Round 24,8/3/1980,Athletic Club,4—3,Sevilla,1979-1980
Round 24,8/3/1980,Betis,2—0,Salamanca,1979-1980
Round 24,8/3/1980,Las Palmas,4—2,Atlético de Madrid,1979-1980
Round 24,9/3/1980,AD Almería,2—0,Hércules,1979-1980
Round 24,9/3/1980,Barcelona,0—0,Sporting de Gijón,1979-1980
Round 24,9/3/1980,Rayo Vallecano,5—2,Burgos,1979-1980
Round 24,9/3/1980,Real Madrid,2—0,Español,1979-1980
Round 24,9/3/1980,Valencia,3—1,CD Málaga,1979-1980
Round 24,9/3/1980,Zaragoza,0—2,Real Sociedad,1979-1980
Round 25,16/03/1980,Atlético de Madrid,0—1,Athletic Club,1979-1980
Round 25,16/03/1980,Burgos,0—0,Barcelona,1979-1980
Round 25,16/03/1980,Español,0—1,Las Palmas,1979-1980
Round 25,16/03/1980,Sporting de Gijón,1—0,AD Almería,1979-1980
Round 25,16/03/1980,Hércules,3—1,Zaragoza,1979-1980
Round 25,16/03/1980,CD Málaga,1—3,Rayo Vallecano,1979-1980
Round 25,16/03/1980,Real Sociedad,0—0,Betis,1979-1980
Round 25,16/03/1980,Salamanca,1—1,Real Madrid,1979-1980
Round 25,16/03/1980,Sevilla,2—1,Valencia,1979-1980
Round 26,23/03/1980,AD Almería,2—0,Burgos,1979-1980
Round 26,23/03/1980,Athletic Club,3—0,Las Palmas,1979-1980
Round 26,23/03/1980,Barcelona,3—0,CD Málaga,1979-1980
Round 26,23/03/1980,Betis,2—0,Hércules,1979-1980
Round 26,23/03/1980,Rayo Vallecano,1—1,Sevilla,1979-1980
Round 26,23/03/1980,Real Madrid,2—2,Real Sociedad,1979-1980
Round 26,23/03/1980,Salamanca,2—0,Español,1979-1980
Round 26,23/03/1980,Valencia,2—1,Atlético de Madrid,1979-1980
Round 26,23/03/1980,Zaragoza,1—0,Sporting de Gijón,1979-1980
Round 27,29/03/1980,Sporting de Gijón,3—1,Betis,1979-1980
Round 27,29/03/1980,Las Palmas,2—1,Valencia,1979-1980
Round 27,30/03/1980,Atlético de Madrid,2—1,Rayo Vallecano,1979-1980
Round 27,30/03/1980,Burgos,0—1,Zaragoza,1979-1980
Round 27,30/03/1980,Español,0—0,Athletic Club,1979-1980
Round 27,30/03/1980,Hércules,0—0,Real Madrid,1979-1980
Round 27,30/03/1980,Real Sociedad,1—0,Salamanca,1979-1980
Round 27,30/03/1980,Sevilla,3—1,Barcelona,1979-1980
Round 28,5/4/1980,Real Madrid,1—0,Sporting de Gijón,1979-1980
Round 28,5/4/1980,Valencia,2—0,Athletic Club,1979-1980
Round 28,6/4/1980,AD Almería,2—2,Sevilla,1979-1980
Round 28,6/4/1980,Barcelona,1—0,Atlético de Madrid,1979-1980
Round 28,6/4/1980,Betis,3—1,Burgos,1979-1980
Round 28,6/4/1980,Real Sociedad,1—0,Español,1979-1980
Round 28,6/4/1980,Rayo Vallecano,1—0,Las Palmas,1979-1980
Round 28,6/4/1980,Salamanca,2—1,Hércules,1979-1980
Round 28,6/4/1980,Zaragoza,3—1,CD Málaga,1979-1980
Round 29,12/4/1980,Las Palmas,0—1,Barcelona,1979-1980
Round 29,13/04/1980,Athletic Club,4—1,Rayo Vallecano,1979-1980
Round 29,13/04/1980,Atlético de Madrid,4—1,AD Almería,1979-1980
Round 29,13/04/1980,Burgos,1—2,Real Madrid,1979-1980
Round 29,13/04/1980,Español,1—1,Valencia,1979-1980
Round 29,13/04/1980,Sporting de Gijón,0—0,Salamanca,1979-1980
Round 29,13/04/1980,Hércules,0—0,Real Sociedad,1979-1980
Round 29,13/04/1980,CD Málaga,1—0,Betis,1979-1980
Round 29,13/04/1980,Sevilla,2—1,Zaragoza,1979-1980
Round 30,19/04/1980,Real Madrid,2—1,CD Málaga,1979-1980
Round 30,20/04/1980,AD Almería,3—0,Las Palmas,1979-1980
Round 30,20/04/1980,Barcelona,1—0,Athletic Club,1979-1980
Round 30,20/04/1980,Betis,4—0,Sevilla,1979-1980
Round 30,20/04/1980,Hércules,0—1,Español,1979-1980
Round 30,20/04/1980,Real Sociedad,4—1,Sporting de Gijón,1979-1980
Round 30,20/04/1980,Rayo Vallecano,1—0,Valencia,1979-1980
Round 30,20/04/1980,Salamanca,1—3,Burgos,1979-1980
Round 30,20/04/1980,Zaragoza,0—0,Atlético de Madrid,1979-1980
Round 31,26/04/1980,Sporting de Gijón,0—0,Hércules,1979-1980
Round 31,26/04/1980,Las Palmas,0—0,Zaragoza,1979-1980
Round 31,27/04/1980,Athletic Club,3—0,AD Almería,1979-1980
Round 31,27/04/1980,Atlético de Madrid,3—1,Betis,1979-1980
Round 31,27/04/1980,Burgos,1—3,Real Sociedad,1979-1980
Round 31,27/04/1980,Español,1—0,Rayo Vallecano,1979-1980
Round 31,27/04/1980,CD Málaga,0—3,Salamanca,1979-1980
Round 31,27/04/1980,Sevilla,1—1,Real Madrid,1979-1980
Round 31,27/04/1980,Valencia,1—1,Barcelona,1979-1980
Round 32,4/5/1980,AD Almería,1—0,Valencia,1979-1980
Round 32,4/5/1980,Barcelona,2—1,Rayo Vallecano,1979-1980
Round 32,4/5/1980,Betis,3—0,Las Palmas,1979-1980
Round 32,4/5/1980,Sporting de Gijón,2—0,Español,1979-1980
Round 32,4/5/1980,Hércules,3—0,Burgos,1979-1980
Round 32,4/5/1980,Real Sociedad,3—1,CD Málaga,1979-1980
Round 32,4/5/1980,Real Madrid,4—0,Atlético de Madrid,1979-1980
Round 32,4/5/1980,Salamanca,2—1,Sevilla,1979-1980
Round 32,4/5/1980,Zaragoza,1—0,Athletic Club,1979-1980
Round 33,10/5/1980,Valencia,3—0,Zaragoza,1979-1980
Round 33,11/5/1980,Athletic Club,2—2,Betis,1979-1980
Round 33,11/5/1980,Atlético de Madrid,0—1,Salamanca,1979-1980
Round 33,11/5/1980,Barcelona,3—1,Español,1979-1980
Round 33,11/5/1980,Burgos,0—3,Sporting de Gijón,1979-1980
Round 33,11/5/1980,Las Palmas,1—2,Real Madrid,1979-1980
Round 33,11/5/1980,CD Málaga,0—2,Hércules,1979-1980
Round 33,11/5/1980,Rayo Vallecano,1—2,AD Almería,1979-1980
Round 33,11/5/1980,Sevilla,2—1,Real Sociedad,1979-1980
Round 34,18/05/1980,AD Almería,1—1,Barcelona,1979-1980
Round 34,18/05/1980,Betis,3—0,Valencia,1979-1980
Round 34,18/05/1980,Español,1—0,Burgos,1979-1980
Round 34,18/05/1980,Sporting de Gijón,0—1,CD Málaga,1979-1980
Round 34,18/05/1980,Hércules,0—1,Sevilla,1979-1980
Round 34,18/05/1980,Real Sociedad,2—0,Atlético de Madrid,1979-1980
Round 34,18/05/1980,Real Madrid,3—1,Athletic Club,1979-1980
Round 34,18/05/1980,Salamanca,2—0,Las Palmas,1979-1980
Round 34,18/05/1980,Zaragoza,3—2,Rayo Vallecano,1979-1980
Round 1,6/9/1980,Español,2—1,Hércules,1980-1981
Round 1,6/9/1980,Sporting de Gijón,2—0,Betis,1980-1981
Round 1,6/9/1980,Sevilla,1—0,Salamanca,1980-1981
Round 1,6/9/1980,Valencia,3—2,Real Sociedad,1980-1981
Round 1,7/9/1980,AD Almería,1—2,Real Madrid,1980-1981
Round 1,7/9/1980,Athletic Club,0—1,Zaragoza,1980-1981
Round 1,7/9/1980,Atlético de Madrid,5—2,Valladolid,1980-1981
Round 1,7/9/1980,Murcia,1—2,Barcelona,1980-1981
Round 1,7/9/1980,Osasuna,1—0,Las Palmas,1980-1981
Round 2,13/09/1980,Barcelona,3—1,Español,1980-1981
Round 2,13/09/1980,Las Palmas,1—1,Atlético de Madrid,1980-1981
Round 2,13/09/1980,Real Sociedad,2—1,Osasuna,1980-1981
Round 2,13/09/1980,Salamanca,0—3,Murcia,1980-1981
Round 2,13/09/1980,Valencia,3—1,Betis,1980-1981
Round 2,14/09/1980,Hércules,1—1,Sporting de Gijón,1980-1981
Round 2,14/09/1980,Real Madrid,7—1,Athletic Club,1980-1981
Round 2,14/09/1980,Valladolid,0—0,AD Almería,1980-1981
Round 2,14/09/1980,Zaragoza,2—0,Sevilla,1980-1981
Round 3,20/09/1980,Español,2—1,Salamanca,1980-1981
Round 3,21/09/1980,Athletic Club,4—1,Valladolid,1980-1981
Round 3,21/09/1980,Atlético de Madrid,2—1,AD Almería,1980-1981
Round 3,21/09/1980,Sporting de Gijón,2—1,Barcelona,1980-1981
Round 3,21/09/1980,Las Palmas,0—3,Real Sociedad,1980-1981
Round 3,21/09/1980,Murcia,0—1,Zaragoza,1980-1981
Round 3,21/09/1980,Osasuna,1—2,Betis,1980-1981
Round 3,21/09/1980,Sevilla,2—0,Real Madrid,1980-1981
Round 3,21/09/1980,Valencia,0—2,Hércules,1980-1981
Round 4,27/09/1980,Barcelona,0—3,Valencia,1980-1981
Round 4,27/09/1980,Real Sociedad,2—2,Atlético de Madrid,1980-1981
Round 4,28/09/1980,AD Almería,1—1,Athletic Club,1980-1981
Round 4,28/09/1980,Betis,4—1,Las Palmas,1980-1981
Round 4,28/09/1980,Hércules,0—0,Osasuna,1980-1981
Round 4,28/09/1980,Real Madrid,4—0,Murcia,1980-1981
Round 4,28/09/1980,Salamanca,2—2,Sporting de Gijón,1980-1981
Round 4,28/09/1980,Valladolid,2—3,Sevilla,1980-1981
Round 4,28/09/1980,Zaragoza,2—1,Español,1980-1981
Round 5,4/10/1980,Las Palmas,1—1,Hércules,1980-1981
Round 5,5/10/1980,Atlético de Madrid,2—1,Athletic Club,1980-1981
Round 5,5/10/1980,Español,2—1,Real Madrid,1980-1981
Round 5,5/10/1980,Sporting de Gijón,1—1,Zaragoza,1980-1981
Round 5,5/10/1980,Murcia,0—0,Valladolid,1980-1981
Round 5,5/10/1980,Osasuna,1—0,Barcelona,1980-1981
Round 5,5/10/1980,Real Sociedad,2—2,Betis,1980-1981
Round 5,5/10/1980,Sevilla,1—0,AD Almería,1980-1981
Round 5,5/10/1980,Valencia,3—0,Salamanca,1980-1981
Round 6,11/10/1980,Athletic Club,3—0,Sevilla,1980-1981
Round 6,12/10/1980,AD Almería,0—0,Murcia,1980-1981
Round 6,12/10/1980,Barcelona,1—0,Las Palmas,1980-1981
Round 6,12/10/1980,Betis,0—1,Atlético de Madrid,1980-1981
Round 6,12/10/1980,Hércules,2—0,Real Sociedad,1980-1981
Round 6,12/10/1980,Real Madrid,1—0,Sporting de Gijón,1980-1981
Round 6,12/10/1980,Salamanca,1—2,Osasuna,1980-1981
Round 6,12/10/1980,Valladolid,3—1,Español,1980-1981
Round 6,12/10/1980,Zaragoza,1—1,Valencia,1980-1981
Round 7,18/10/1980,Las Palmas,1—1,Salamanca,1980-1981
Round 7,18/10/1980,Valencia,2—1,Real Madrid,1980-1981
Round 7,19/10/1980,Atlético de Madrid,2—0,Sevilla,1980-1981
Round 7,19/10/1980,Betis,2—0,Hércules,1980-1981
Round 7,19/10/1980,Español,1—0,AD Almería,1980-1981
Round 7,19/10/1980,Sporting de Gijón,4—1,Valladolid,1980-1981
Round 7,19/10/1980,Murcia,5—4,Athletic Club,1980-1981
Round 7,19/10/1980,Osasuna,1—0,Zaragoza,1980-1981
Round 7,19/10/1980,Real Sociedad,2—0,Barcelona,1980-1981
Round 8,26/10/1980,AD Almería,1—1,Sporting de Gijón,1980-1981
Round 8,26/10/1980,Athletic Club,1—2,Español,1980-1981
Round 8,26/10/1980,Barcelona,1—3,Betis,1980-1981
Round 8,26/10/1980,Hércules,1—2,Atlético de Madrid,1980-1981
Round 8,26/10/1980,Real Madrid,3—1,Osasuna,1980-1981
Round 8,26/10/1980,Salamanca,0—2,Real Sociedad,1980-1981
Round 8,26/10/1980,Sevilla,1—0,Murcia,1980-1981
Round 8,26/10/1980,Valladolid,2—0,Valencia,1980-1981
Round 8,26/10/1980,Zaragoza,2—3,Las Palmas,1980-1981
Round 9,1/11/1980,Las Palmas,1—0,Real Madrid,1980-1981
Round 9,1/11/1980,Real Sociedad,1—0,Zaragoza,1980-1981
Round 9,1/11/1980,Valencia,3—1,AD Almería,1980-1981
Round 9,2/11/1980,Atlético de Madrid,2—1,Murcia,1980-1981
Round 9,2/11/1980,Betis,5—0,Salamanca,1980-1981
Round 9,2/11/1980,Español,2—2,Sevilla,1980-1981
Round 9,2/11/1980,Sporting de Gijón,1—1,Athletic Club,1980-1981
Round 9,2/11/1980,Hércules,0—1,Barcelona,1980-1981
Round 9,2/11/1980,Osasuna,2—0,Valladolid,1980-1981
Round 10,9/11/1980,AD Almería,1—1,Osasuna,1980-1981
Round 10,9/11/1980,Athletic Club,4—0,Valencia,1980-1981
Round 10,9/11/1980,Barcelona,4—2,Atlético de Madrid,1980-1981
Round 10,9/11/1980,Murcia,1—1,Español,1980-1981
Round 10,9/11/1980,Real Madrid,1—0,Real Sociedad,1980-1981
Round 10,9/11/1980,Salamanca,0—1,Hércules,1980-1981
Round 10,9/11/1980,Sevilla,3—2,Sporting de Gijón,1980-1981
Round 10,9/11/1980,Valladolid,3—1,Las Palmas,1980-1981
Round 10,9/11/1980,Zaragoza,2—0,Betis,1980-1981
Round 11,15/11/1980,Las Palmas,3—0,AD Almería,1980-1981
Round 11,16/11/1980,Atlético de Madrid,1—0,Español,1980-1981
Round 11,16/11/1980,Barcelona,3—0,Salamanca,1980-1981
